autor,estilo
NOT,"Related artists in: romanian trap, romanian rap, manele   ☷   ⓘ"
Yohani,sinhala indie   ☷   ⓘ
 Death Stranding,"Sorry, that one doesn't seem to be on any of these maps yet."
Mike WiLL Made,"Sorry, that one doesn't seem to be on any of these maps yet."
 Clueso,"german pop, german singer-songwriter   ☷   ⓘ"
 Ozuna,"puerto rican pop, trap latino, reggaeton   ☷   ⓘ"
DRAM,"virginia hip hop, rap, underground hip hop, pop rap   ☷   ⓘ"
Iggy Azalea,"dance pop, pop, australian hip hop, post-teen pop, hip pop, pop rap, viral rap, rap   ☷   ⓘ"
 Danny Brown,"escape room, alternative hip hop, detroit hip hop, underground hip hop, hip hop, rap   ☷   ⓘ"
Ninho,"pop urbaine, french hip hop   ☷   ⓘ"
 MC M,"Sorry, that one doesn't seem to be on any of these maps yet."
 Marcus Mumford,british singer-songwriter   ☷   ⓘ
Jhayco,"trap latino, reggaeton   ☷   ⓘ"
Tony Bennett,"adult standards, vocal jazz, easy listening   ☷   ⓘ"
 Paloma Mami,"reggaeton chileno, trap chileno, latin pop   ☷   ⓘ"
 Dalex,"r&b en espanol, trap latino, reggaeton   ☷   ⓘ"
 Meek Mill,"rap, philly rap, trap, pop rap, southern hip hop, hip hop   ☷   ⓘ"
Tove Lo,"pop, swedish electropop, electropop, dance pop, metropopolis, swedish synthpop, swedish pop   ☷   ⓘ"
 Abraham Mateo,"latin viral pop, latin arena pop, latin pop, spanish pop, reggaeton, dominican pop   ☷   ⓘ"
Blessd,"trap latino, reggaeton   ☷   ⓘ"
The xx,"downtempo, indietronica, dream pop   ☷   ⓘ"
 Rag,"Sorry, that one doesn't seem to be on any of these maps yet."
The Ronettes,"classic girl group, brill building pop, adult standards, soul   ☷   ⓘ"
 Kierra Sheard,"gospel r&b, gospel   ☷   ⓘ"
ItaloBrothers,"hands up, italo dance, eurodance, dance pop, pop dance   ☷   ⓘ"
NewJeans,"k-pop girl group, k-pop   ☷   ⓘ"
Kate Bush,"baroque pop, piano rock, permanent wave, art pop, art rock, new wave pop, singer-songwriter   ☷   ⓘ"
 Danelle Sandoval,nyc pop   ☷   ⓘ
 Jessica Rothe,"Related artists in: hollywood, post-teen pop   ☷   ⓘ"
 Beta Berk Bay,"scottish indie, britpop, chamber psych, indie rock   ☷   ⓘ"
Bilal Wahib,dutch pop   ☷   ⓘ
Lizzo,"minnesota hip hop, pop, trap queen, escape room   ☷   ⓘ"
Tom Odell,"chill pop, pop   ☷   ⓘ"
 WIU,"trap brasileiro, funk carioca   ☷   ⓘ"
 Empress Of,"shiver pop, etherpop, art pop, electropop, escape room, alternative r&b, indie pop, pop   ☷   ⓘ"
Shirin David,"frauenrap, german hip hop, german pop   ☷   ⓘ"
Fero,"albanian hip hop, albanian pop   ☷   ⓘ"
Boza,"reggaeton, trap latino   ☷   ⓘ"
Zach Bryan,oklahoma country   ☷   ⓘ
Mumford ,"Sorry, that one doesn't seem to be on any of these maps yet."
 TrifeDrew,"Related artists in: vapor trap, melodic rap, czsk hip hop, canadian hip hop, czech hip hop, trap, underground hip hop, canadian trap, slovak hip hop, toronto rap   ☷   ⓘ"
MC G,"Sorry, that one doesn't seem to be on any of these maps yet."
 Fally Ipupa,"ndombolo, musique urbaine kinshasa, rumba congolaise, azontobeats, afropop, pop urbaine   ☷   ⓘ"
Bea Miller,"pop, alt z, talent show, post-teen pop, electropop, indie poptimism, dance pop   ☷   ⓘ"
Anderson ,"Sorry, that one doesn't seem to be on any of these maps yet."
Michael Bubl,"Sorry, that one doesn't seem to be on any of these maps yet."
 Trettmann,"hamburg hip hop, german cloud rap, german hip hop   ☷   ⓘ"
 Skylar Grey,"piano rock, viral pop   ☷   ⓘ"
Robin Schulz,"tropical house, german dance, deep euro house, pop dance, edm, dance pop, deep house, pop, pop rap   ☷   ⓘ"
 Kotim,funk carioca   ☷   ⓘ
Tiago Doid,"Sorry, that one doesn't seem to be on any of these maps yet."
 Stunna Gambino,nyc rap   ☷   ⓘ
 Chefin,funk carioca   ☷   ⓘ
 Maes,"pop urbaine, french hip hop, rap francais, francoton   ☷   ⓘ"
 Kenny Rogers,"nashville sound, classic country pop, mellow gold, country, soft rock, adult standards   ☷   ⓘ"
Austyn Johnson,show tunes   ☷   ⓘ
Louis Armstrong,"harlem renaissance, new orleans jazz, dixieland, adult standards, vocal jazz, jazz trumpet, swing   ☷   ⓘ"
 mc jhenny,"funk mandelao, funk carioca   ☷   ⓘ"
Dixie,social media pop   ☷   ⓘ
 Achille Lauro,"italian pop, italian hip hop, italian indie pop   ☷   ⓘ"
 Kesha,"dance pop, pop, post-teen pop   ☷   ⓘ"
 BTS,"k-pop boy group, k-pop   ☷   ⓘ"
 Dopamine,"Sorry, that one doesn't seem to be on any of these maps yet."
 Aiyana,"Sorry, that one doesn't seem to be on any of these maps yet."
Coez,"rome indie, italian pop, rap napoletano   ☷   ⓘ"
Mikolas Josef,"eurovision, czech pop   ☷   ⓘ"
Afrojack,"edm, pop dance, electro house, progressive electro house, big room, dutch house, tropical house, dance pop, progressive house, pop rap   ☷   ⓘ"
Aldair Playboy,"batidao romantico, brega funk, brega romantico, forro de favela, funk carioca   ☷   ⓘ"
 Brent Faiyaz,"dmv rap, r&b, pop, rap, hip hop   ☷   ⓘ"
 George Benson,"soul jazz, yacht rock, jazz funk, jazz guitar, smooth jazz, disco, quiet storm   ☷   ⓘ"
KitschKrieg,"hamburg hip hop, german hip hop   ☷   ⓘ"
 KIDDO,scandipop   ☷   ⓘ
 Gryffin,"pop dance, tropical house, pop, edm, dance pop   ☷   ⓘ"
Nea,scandipop   ☷   ⓘ
Eliza Rose,house   ☷   ⓘ
The Platters,"adult standards, brill building pop, rock-and-roll, doo-wop, rockabilly, lounge, rhythm and blues   ☷   ⓘ"
Vince Guaraldi Trio,"adult standards, jazz trio   ☷   ⓘ"
ngel,"Sorry, that one doesn't seem to be on any of these maps yet."
Lewis Capaldi,"uk pop, pop   ☷   ⓘ"
French Montana,"rap, trap, pop rap, southern hip hop, hip hop, gangster rap   ☷   ⓘ"
PNL,"pop urbaine, french hip hop   ☷   ⓘ"
 Nas,"queens hip hop, hip hop, conscious hip hop, east coast hip hop, rap, gangster rap, hardcore hip hop   ☷   ⓘ"
Juanfran,"dominican pop, pop reggaeton, urbano espanol   ☷   ⓘ"
 BIA,"trap queen, rap latina, rap, r&b, viral rap, pop   ☷   ⓘ"
 Ghali,"milan indie, italian pop, italian hip hop, rap tunisien   ☷   ⓘ"
DA,uk drill   ☷   ⓘ
 Stefflon Don,"uk dancehall, dancehall queen, dancehall, uk hip hop, rap   ☷   ⓘ"
Jesse ,"Sorry, that one doesn't seem to be on any of these maps yet."
 JS o M,"Sorry, that one doesn't seem to be on any of these maps yet."
 Emilee,social media pop   ☷   ⓘ
Chance the Rapper,"rap, conscious hip hop, chicago rap, hip hop, pop rap   ☷   ⓘ"
Carnage,"electronic trap, trap, edm, electro house   ☷   ⓘ"
 PLK,"rap conscient, pop urbaine, french hip hop   ☷   ⓘ"
Luis Miguel,"latin pop, bolero   ☷   ⓘ"
 DENNIS,"funk das antigas, funk carioca   ☷   ⓘ"
 Dominic Fike,"alternative pop rock, pop   ☷   ⓘ"
MC Kekel,"funk carioca, funk consciente, funk paulista, funk ostentacao   ☷   ⓘ"
Gesaffelstein,"destroy techno, dark clubbing   ☷   ⓘ"
 Vicente Garcia,"dominican pop, bachata, latin pop, latin alternative   ☷   ⓘ"
LF SYSTEM,"Related artists in: house, pop dance, deep groove house, uk dance, disco house, edm, tropical house, deep house, electro house, bass house   ☷   ⓘ"
 Clams Casino,"psychedelic hip hop, experimental hip hop   ☷   ⓘ"
 The RattPack,"Sorry, that one doesn't seem to be on any of these maps yet."
 Rod Wave,florida rap   ☷   ⓘ
DJ Robin,partyschlager   ☷   ⓘ
Mata,"polish trap, polish hip hop   ☷   ⓘ"
 RAY BLK,"uk contemporary r&b, electra, alternative r&b   ☷   ⓘ"
Peso Pluma,"sad sierreno, nueva musica mexicana, corrido   ☷   ⓘ"
Kevin Roldan,"reggaeton colombiano, trap latino, reggaeton, perreo, reggaeton flow, latin hip hop   ☷   ⓘ"
Joshua Bassett,"pop, post-teen pop   ☷   ⓘ"
Kep,"Sorry, that one doesn't seem to be on any of these maps yet."
 Marcynho Sensa,"Sorry, that one doesn't seem to be on any of these maps yet."
AnnenMayKantereit,"cologne indie, german singer-songwriter   ☷   ⓘ"
Tears For Fears,"new romantic, new wave, permanent wave, sophisti-pop, synthpop, new wave pop   ☷   ⓘ"
 Aluna,"edm, pop dance, house, tropical house, electro house, dance pop   ☷   ⓘ"
 Arthur Hanlon,"Related artists in: latin pop, latin arena pop, puerto rican pop, spanish pop, colombian pop, mexican pop, ranchera, spanish pop rock   ☷   ⓘ"
 NSTASIA,"Related artists in: alternative r&b, indie r&b, chill r&b, r&b, indie soul, trap soul, high vibe, pop r&b, escape room, neo soul   ☷   ⓘ"
Beyonc,"Related artists in: abstract hip hop, underground rap, alternative hip hop, minnesota hip hop, conscious hip hop, ohio hip hop, turntablism   ☷   ⓘ"
t We,"Sorry, that one doesn't seem to be on any of these maps yet."
nd,"Sorry, that one doesn't seem to be on any of these maps yet."
Anuel AA,"trap boricua, trap latino, reggaeton, reggaeton flow   ☷   ⓘ"
Cigarettes After Sex,"el paso indie, ambient pop, shoegaze, dream pop, pop   ☷   ⓘ"
 SEULGI,k-pop   ☷   ⓘ
Matt Maltese,"indie anthem-folk, indie pop, pop   ☷   ⓘ"
 Pi,"Sorry, that one doesn't seem to be on any of these maps yet."
Ofenbach,"tropical house, pop dance, edm, electro house, dance pop, pop   ☷   ⓘ"
Netta,"eurovision, israeli pop   ☷   ⓘ"
 No I,"Sorry, that one doesn't seem to be on any of these maps yet."
 BloodPop,Related artists in: pop   ☷   ⓘ
 Lali,"pop argentino, argentine telepop   ☷   ⓘ"
 Yasiin Bey,"Related artists in: soul flow, underground hip hop, alternative hip hop, escape room, experimental hip hop   ☷   ⓘ"
Bad Bunny,"trap latino, reggaeton   ☷   ⓘ"
Boy,"k-pop boy group, k-pop   ☷   ⓘ"
Rosa Walton,"Related artists in: anime score, anime, japanese soundtrack, japanese vgm, video game music   ☷   ⓘ"
F,"Sorry, that one doesn't seem to be on any of these maps yet."
Shakin,"Sorry, that one doesn't seem to be on any of these maps yet."
Macklemore ,"seattle hip hop, pop rap   ☷   ⓘ"
Gambi,"pop urbaine, rap francais, french hip hop   ☷   ⓘ"
 Tomine Harket,"Related artists in: norwegian pop, norwegian pop rap, norwegian indie, norske viser, norwegian hip hop   ☷   ⓘ"
Luch,"Sorry, that one doesn't seem to be on any of these maps yet."
 Sickick,bass trap   ☷   ⓘ
KYLE,"pop rap, viral rap, rap, pop   ☷   ⓘ"
Stormzy,"grime, uk hip hop   ☷   ⓘ"
Justin Hurwitz,"hollywood, movie tunes   ☷   ⓘ"
Juliette,"Related artists in: musica infantil, portuguese indie   ☷   ⓘ"
Eric Land,"forro, sertanejo pop   ☷   ⓘ"
Pretenders,"permanent wave, rock, mellow gold, new wave pop, art rock, soft rock, classic rock, new wave, album rock, new romantic   ☷   ⓘ"
 Omega Sapien,korean underground rap   ☷   ⓘ
 Gus Dapperton,"bedroom pop, indie pop, indie poptimism   ☷   ⓘ"
S,"Sorry, that one doesn't seem to be on any of these maps yet."
 Christian Daniel,"puerto rican pop, latin arena pop   ☷   ⓘ"
Internet Money,"rap, trap, viral rap, pop rap   ☷   ⓘ"
 Wisin ,"reggaeton, latin hip hop, trap latino   ☷   ⓘ"
 WanMor,"Sorry, that one doesn't seem to be on any of these maps yet."
Chanel,"Related artists in: latin viral pop, eurovision, latin talent show, spanish pop, latin pop   ☷   ⓘ"
Boomdabash,"italian pop, italian reggae, italian adult pop   ☷   ⓘ"
 DTG,afroswing   ☷   ⓘ
o de Ouro,"Sorry, that one doesn't seem to be on any of these maps yet."
StarBoi,"Sorry, that one doesn't seem to be on any of these maps yet."
Camila Cabello,"pop, dance pop, post-teen pop   ☷   ⓘ"
Grey,pop edm   ☷   ⓘ
Jessica Darrow,"Related artists in: cartoon, hollywood   ☷   ⓘ"
Juju,"frauenrap, german hip hop   ☷   ⓘ"
The Carters,"r&b, rap, urban contemporary, pop   ☷   ⓘ"
 WILDBWOYS,german hip hop   ☷   ⓘ
 Game of Thrones,"Related artists in: british blues, classic garage rock, fast melodic punk, freakbeat, futurepop, glitchcore, hyperpop, k-pop, minimal wave, psychedelic rock   ☷   ⓘ"
 Louane,"french pop, francoton   ☷   ⓘ"
 La Gaita,"Sorry, that one doesn't seem to be on any of these maps yet."
 Bonez MC,"hamburg hip hop, german hip hop   ☷   ⓘ"
 J,"Sorry, that one doesn't seem to be on any of these maps yet."
 Jack ,"Sorry, that one doesn't seem to be on any of these maps yet."
Stephanie Poetri,"Related artists in: chill r&b, indonesian pop, indonesian r&b, pop, indonesian indie, indonesian singer-songwriter, singaporean pop   ☷   ⓘ"
z,"Sorry, that one doesn't seem to be on any of these maps yet."
 Mufasa ,Related artists in: norwegian trap   ☷   ⓘ
 The Weeknd,"canadian contemporary r&b, canadian pop, pop   ☷   ⓘ"
 Moneybagg Yo,"tennessee hip hop, trap, rap, memphis hip hop, southern hip hop, hip hop   ☷   ⓘ"
Crissin,reggaeton colombiano   ☷   ⓘ
Sleepy Hallow,"nyc rap, brooklyn drill   ☷   ⓘ"
DJ Jazzy Jeff ,"east coast hip hop, hip hop, alternative hip hop   ☷   ⓘ"
 Vanessa Hudgens,"post-teen pop, dance pop, pop   ☷   ⓘ"
 Felix Jaehn,"tropical house, german dance, pop dance, edm, dance pop, electro house, pop   ☷   ⓘ"
 Gustah,"Sorry, that one doesn't seem to be on any of these maps yet."
Diplo,"moombahton, edm, pop dance, ninja, house, tropical house, electro house, pop   ☷   ⓘ"
YUNGBLUD,"british indie rock, modern rock, rock   ☷   ⓘ"
 DJ Premier,"east coast hip hop, alternative hip hop, hip hop, turntablism, hardcore hip hop, boom bap, jazz boom bap, underground hip hop   ☷   ⓘ"
 Luis Fonsi,"puerto rican pop, latin pop   ☷   ⓘ"
 Marc Anthony,"tropical, modern salsa, latin pop, salsa   ☷   ⓘ"
Rels B,"r&b en espanol, spanish hip hop, urbano espanol, trap latino   ☷   ⓘ"
 El,"Sorry, that one doesn't seem to be on any of these maps yet."
 JSX,"Related artists in: pop urbaine, rap francais, french hip hop, francoton, old school rap francais   ☷   ⓘ"
 Em Beihold,"gen z singer-songwriter, alt z   ☷   ⓘ"
 Taylour Paige,"Sorry, that one doesn't seem to be on any of these maps yet."
 Linkin Park,"rap metal, post-grunge, nu metal, alternative metal   ☷   ⓘ"
Bryan Adams,"classic canadian rock, heartland rock, canadian pop, canadian singer-songwriter, soft rock, mellow gold   ☷   ⓘ"
 Frank Ocean,"lgbtq+ hip hop, neo soul, hip hop, pop   ☷   ⓘ"
Kollegah,german hip hop   ☷   ⓘ
 Feliciano,"Related artists in: nueva trova chilena, chilean indie, chilean rock, nueva cancion   ☷   ⓘ"
 Guapdad ,"Sorry, that one doesn't seem to be on any of these maps yet."
 Data Luv,"german trap, german hip hop   ☷   ⓘ"
 MC Gury,"funk paulista, funk ostentacao, funk carioca   ☷   ⓘ"
Isabel LaRosa,"hyperpop, pop   ☷   ⓘ"
 Nayer,deep dance pop   ☷   ⓘ
Wilbur Soot,"dream smp, indie pop   ☷   ⓘ"
Louis The Child,"electropop, edm, tropical house, indie poptimism, pop dance, pop, electro house   ☷   ⓘ"
Dardan,"german hip hop, albanian hip hop   ☷   ⓘ"
Southside,atl hip hop   ☷   ⓘ
tone,"Related artists in: oldschool deutschrap, german hip hop, deep german hip hop, german pop   ☷   ⓘ"
 Gary Lightbody,british singer-songwriter   ☷   ⓘ
 Hit,"Sorry, that one doesn't seem to be on any of these maps yet."
 Juanes,"latin pop, colombian pop, mexican pop, rock en espanol, tropical   ☷   ⓘ"
Daft Punk,"filter house, electro   ☷   ⓘ"
 Skepta,"birmingham grime, grime, instrumental grime, rap   ☷   ⓘ"
Herve Pagez,musique guadeloupe   ☷   ⓘ
 Natalia Lafourcade,"veracruz indie, mexican pop, latin alternative, rock en espanol, latin pop   ☷   ⓘ"
 Fleet Foxes,"chamber pop, seattle indie, stomp and holler, indie rock, folk, indie folk, indie pop   ☷   ⓘ"
Rod Wave,florida rap   ☷   ⓘ
 Galantis,"pop dance, tropical house, edm, dance pop, pop, electro house   ☷   ⓘ"
 The Boy Next Door,basshall   ☷   ⓘ
 Shaggy,"reggae fusion, pop rap, dance pop   ☷   ⓘ"
 Capo,german hip hop   ☷   ⓘ
 ZT ,"Sorry, that one doesn't seem to be on any of these maps yet."
NLE Choppa,"memphis hip hop, viral rap   ☷   ⓘ"
 Bonn,swedish pop   ☷   ⓘ
 Bring Me The Horizon,"uk metalcore, melodic metalcore, metalcore, rock   ☷   ⓘ"
Farruko,"reggaeton, latin hip hop, trap latino   ☷   ⓘ"
Florida Georgia Line,"contemporary country, country road, modern country rock, country, country pop   ☷   ⓘ"
Phoenix,"rock independant francais, modern rock, alternative dance, new rave, indie rock   ☷   ⓘ"
SiR,"la pop, alternative r&b, r&b, rap, indie soul, neo soul, hip hop   ☷   ⓘ"
Bastille,"metropopolis, pop rock, modern rock, pop   ☷   ⓘ"
 Domo Genesis,"underground hip hop, alternative hip hop, escape room, rap, hip hop   ☷   ⓘ"
Ghali,"milan indie, italian pop, italian hip hop, rap tunisien   ☷   ⓘ"
 Hopsin,"conscious hip hop, pop rap, rap, hip hop   ☷   ⓘ"
 Black Thought,"alternative hip hop, east coast hip hop, boom bap, hip hop   ☷   ⓘ"
 The Dap,"Sorry, that one doesn't seem to be on any of these maps yet."
 Josh Levi,pop r&b   ☷   ⓘ
JACKBOYS,"rap, trap   ☷   ⓘ"
 Felipe Original,"brega funk, arrochadeira, funk carioca   ☷   ⓘ"
 Bozza,"german hip hop, german underground rap, german pop   ☷   ⓘ"
 Mauro Castillo,"salsa colombiana, modern salsa   ☷   ⓘ"
Nas,"queens hip hop, hip hop, conscious hip hop, east coast hip hop, rap, gangster rap, hardcore hip hop   ☷   ⓘ"
Kodak Black,"melodic rap, miami hip hop, rap, florida rap, trap, hip hop   ☷   ⓘ"
 Snow Tha Product,"rap latina, trap queen, alternative r&b   ☷   ⓘ"
 U,"Sorry, that one doesn't seem to be on any of these maps yet."
 XATAR,"kurdish hip hop, german hip hop, hamburg hip hop   ☷   ⓘ"
 ,
Luca H,"Sorry, that one doesn't seem to be on any of these maps yet."
DaBaby,"north carolina hip hop, rap, trap   ☷   ⓘ"
Giveon,"pop, r&b   ☷   ⓘ"
 Daya,"pop, post-teen pop, dance pop, tropical house, alt z, electropop, pop dance, edm   ☷   ⓘ"
SANTOS,"Related artists in: german hip hop, german pop, deep german hip hop, german underground rap, german r&b, german trap   ☷   ⓘ"
Andy Williams,"adult standards, easy listening, brill building pop   ☷   ⓘ"
 Alida,norwegian pop   ☷   ⓘ
Kina,sad lo-fi   ☷   ⓘ
 Kelly Clarkson,"dance pop, pop, post-teen pop, talent show   ☷   ⓘ"
 Method Man,"hip hop, hardcore hip hop, gangster rap, east coast hip hop, rap, southern hip hop   ☷   ⓘ"
