autor,estilo
Musical Youth,uk reggae   ☷   ⓘ
Jonas Blue,"tropical house, pop, pop dance, uk dance, dance pop, edm   ☷   ⓘ"
Ufo,"hard rock, album rock, rock, metal, blues rock, classic rock, glam metal, psychedelic rock   ☷   ⓘ"
 Hypeman,"Sorry, that one doesn't seem to be on any of these maps yet."
Bryson Tiller,"kentucky hip hop, rap, r&b, trap, pop   ☷   ⓘ"
 Becky Hill,"uk dance, pop house, pop dance, tropical house, dance pop, pop, edm   ☷   ⓘ"
 Seezyn,cincinnati rap   ☷   ⓘ
grandson,"modern alternative rock, modern rock, rock   ☷   ⓘ"
 Dj Chris No Beat,sertanejo pop   ☷   ⓘ
Cosculluela,"reggaeton, latin hip hop, trap latino, reggaeton flow   ☷   ⓘ"
Vicente Fern,"Sorry, that one doesn't seem to be on any of these maps yet."
 Stephanie Beatriz,hollywood   ☷   ⓘ
 Sonus,"Sorry, that one doesn't seem to be on any of these maps yet."
 Calum Scott,"pop, neo mellow   ☷   ⓘ"
Fujii Kaze,japanese teen pop   ☷   ⓘ
 Chris Nolan,"Related artists in: italian hip hop, trap italiana, italian indie pop, rap genovese   ☷   ⓘ"
 Dave,uk hip hop   ☷   ⓘ
La La Land Cast,"Related artists in: hollywood, soundtrack, orchestral soundtrack, dance pop, r&b, show tunes, urban contemporary   ☷   ⓘ"
 Bausa,german hip hop   ☷   ⓘ
Lauren Jauregui,"post-teen pop, r&b, pop   ☷   ⓘ"
Tedua,"indie liguria, rap genovese, trap italiana, italian hip hop   ☷   ⓘ"
MERO,german hip hop   ☷   ⓘ
Chino ,tamaulipas rap   ☷   ⓘ
 KSI,uk hip hop   ☷   ⓘ
 Sons,"belgian indie rock, belgian indie, dutch rock   ☷   ⓘ"
TREASURE,k-pop   ☷   ⓘ
 Dimartino,"indie siciliano, italian alternative, italian indie pop   ☷   ⓘ"
lokknine,"Sorry, that one doesn't seem to be on any of these maps yet."
 Strassenbande,"Sorry, that one doesn't seem to be on any of these maps yet."
Diane Guerrero,"Related artists in: hollywood, pop, show tunes   ☷   ⓘ"
 Taylor Bennett,"chicago rap, lgbtq+ hip hop, drill   ☷   ⓘ"
 Bantu,zimdancehall   ☷   ⓘ
 Savage Ga,"Sorry, that one doesn't seem to be on any of these maps yet."
Martin Garrix,"dutch edm, pop dance, edm, pop, tropical house, progressive house, dance pop, electro house   ☷   ⓘ"
 Bassy,"Related artists in: doujin, irish underground rap, j-rap   ☷   ⓘ"
 Jos,"Sorry, that one doesn't seem to be on any of these maps yet."
Elvis Presley,"rockabilly, rock-and-roll   ☷   ⓘ"
 Swanson Quartet,"string quartet, classical performance, classical   ☷   ⓘ"
ngara,"Sorry, that one doesn't seem to be on any of these maps yet."
Studio Killers,"Related artists in: escape room, alt z, indie pop, otacore, art pop, dance pop, dark pop, electro swing, electropop, nu jazz   ☷   ⓘ"
ngela Aguilar,"tongan pop, pacific islands pop   ☷   ⓘ"
 DJ Gege,"Related artists in: funk carioca, brega funk, funk consciente, rap paraguayo   ☷   ⓘ"
 Black Coffee,"south african pop dance, south african house, deep house, afro house   ☷   ⓘ"
 Mabel,"dance pop, uk pop, pop, pop dance, tropical house, post-teen pop, edm   ☷   ⓘ"
Metallica,"thrash metal, old school thrash, metal, rock, hard rock   ☷   ⓘ"
 Gurinder Gill,punjabi hip hop   ☷   ⓘ
Kid Cudi,"ohio hip hop, rap, hip hop   ☷   ⓘ"
OneRepublic,"piano rock, pop   ☷   ⓘ"
 Mc Pedrinho,"funk carioca, funk paulista, funk ostentacao, funk mtg   ☷   ⓘ"
 YTB Trench,"Related artists in: atl trap, philly rap   ☷   ⓘ"
 Post Malone,"dfw rap, melodic rap, rap   ☷   ⓘ"
 Miguel,"r&b, urban contemporary, pop, dance pop, hip hop   ☷   ⓘ"
Kiiara,"electropop, indie poptimism, alt z, pop, post-teen pop, dance pop   ☷   ⓘ"
 Sia,"pop, australian dance, australian pop, dance pop   ☷   ⓘ"
X,"early us punk, punk, post-punk, hardcore punk, alternative rock, punk blues, pub rock, new wave   ☷   ⓘ"
Mabel,"dance pop, uk pop, pop, pop dance, tropical house, post-teen pop, edm   ☷   ⓘ"
Vampire Weekend,"baroque pop, modern rock, indie rock, rock   ☷   ⓘ"
 Villano Antillano,rap boricua   ☷   ⓘ
