fecha,artist_names,track_name,position,previous_rank,peak_rank,days_on_chart
2021-10-21,"c. tangana, nathy peluso",Ateo,1,—,1,1
2021-10-21,"zzoilo, aitana",Mon Amour - Remix,2,—,2,1
2021-10-21,"jhayco, anuel aa",Ley Seca,3,—,3,1
2021-10-21,jhayco,Dile (Homenaje),4,—,4,1
2021-10-21,"rvssian, rauw alejandro, chris brown",Nostálgico,5,—,5,1
2021-10-21,rauw alejandro,Cúrame,6,—,6,1
2021-10-21,myke towers,Experimento,7,—,7,1
2021-10-21,justin quiles,Colorín Colorado,8,—,8,1
2021-10-21,rauw alejandro,Todo De Ti,9,—,9,1
2021-10-21,"farruko, victor cardenas, dj adoni",El Incomprendido,10,—,10,1
2021-10-21,"tainy, bad bunny, julieta venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),11,—,11,1
2021-10-21,funzo & baby loud,INMORTALES,12,—,12,1
2021-10-21,farruko,Pepas,13,—,13,1
2021-10-21,"jc la nevula, atomic otro way",Búscate Otro,14,—,14,1
2021-10-21,"bizarrap, ptazeta","Ptazeta: Bzrp Music Sessions, Vol. 45",15,—,15,1
2021-10-21,"aventura, bad bunny",Volví,16,—,16,1
2021-10-21,"justin quiles, chimbala, zion & lennox",Loco,17,—,17,1
2021-10-21,"mora, bad bunny, sech",Volando - Remix,18,—,18,1
2021-10-21,"el taiger, dj conds",La Historia,19,—,19,1
2021-10-21,bad bunny,Yonaguni,20,—,20,1
2021-10-21,myke towers,ALMAS GEMELAS,21,—,21,1
2021-10-21,"tini, maria becerra",Miénteme,22,—,22,1
2021-10-21,bad bunny,120,23,—,23,1
2021-10-21,"omar montes, jc el diamante",Beba Qué Quieres Que Haga,24,—,24,1
2021-10-21,"duki, justin quiles, bizarrap",Unfollow,25,—,25,1
2021-10-21,"j balvin, maria becerra",Qué Más Pues?,26,—,26,1
2021-10-21,"fabbio, omar montes, lennis rodriguez, chus santana",Diablita Remix,27,—,27,1
2021-10-21,"justin quiles, maluma",La Botella,28,—,28,1
2021-10-21,"camilo, evaluna montaner",Índigo,29,—,29,1
2021-10-21,"el bobe, alpedue",Ella,30,—,30,1
2021-10-21,"marc seguí, rauw alejandro, pol granch",Tiroteo - Remix,31,—,31,1
2021-10-21,nil moliner,Libertad,32,—,32,1
2021-10-21,aitana,Berlín,33,—,33,1
2021-10-21,rauw alejandro,Sexo Virtual,34,—,34,1
2021-10-21,"sebastian yatra, myke towers",Pareja Del Año,35,—,35,1
2021-10-21,daviles de novelda,Flamenco y Bachata,36,—,36,1
2021-10-21,"delaossa, kiddo, j.moods",Veneno,37,—,37,1
2021-10-21,camila cabello,Don't Go Yet,38,—,38,1
2021-10-21,"beny jr, el guincho",Combo la L,39,—,39,1
2021-10-21,"j balvin, sech",Una Nota,40,—,40,1
2021-10-21,"the kid laroi, justin bieber",STAY (with Justin Bieber),41,—,41,1
2021-10-21,adele,Easy On Me,42,—,42,1
2021-10-21,"bizarrap, chucky73","Chucky73: Bzrp Music Sessions, Vol. 43",43,—,43,1
2021-10-21,"nio garcia, j balvin, bad bunny",AM Remix,44,—,44,1
2021-10-21,"lola indigo, tini, belinda",La Niña de la Escuela,45,—,45,1
2021-10-21,"moncho chavea, yotuel, original elias, c de cama, omar montes, mala rodríguez, rvfv, beatriz luengo, nyno vargas",Rakata - Remix,46,—,46,1
2021-10-21,"tokischa, rosalía",Linda,47,—,47,1
2021-10-21,rels b,SHORTY QUE TE VAYA BN <3,48,—,48,1
2021-10-21,trueno,FEEL ME??,49,—,49,1
2021-10-21,"lil nas x, jack harlow",INDUSTRY BABY (feat. Jack Harlow),50,—,50,1
2021-10-21,"duki, bizarrap",Malbec,51,—,51,1
2021-10-21,"sech, jhayco",911 (Remix),52,—,52,1
2021-10-21,"c. tangana, niño de elche, la húngara",Tú Me Dejaste De Querer,53,—,53,1
2021-10-21,morad,Soñar,54,—,54,1
2021-10-21,ingratax,París,55,—,55,1
2021-10-21,"c. tangana, gipsy kings, nicolás reyes, tonino baliardo",Ingobernable,56,—,56,1
2021-10-21,"bad bunny, jhayco",DÁKITI,57,—,57,1
2021-10-21,álvaro de luna,Juramento eterno de sal,58,—,58,1
2021-10-21,ckay,love nwantiti (ah ah ah),59,—,59,1
2021-10-21,bad gyal,Flow 2000,60,—,60,1
2021-10-21,"jhayco, skrillex",En Mi Cuarto,61,—,61,1
2021-10-21,"j balvin, skrillex",In Da Getto,62,—,62,1
2021-10-21,dani fernández,Clima Tropical,63,—,63,1
2021-10-21,"ana mena, rocco hunt",Un beso de improviso,64,—,64,1
2021-10-21,"ana mena, rocco hunt",A Un Paso De La Luna,65,—,65,1
2021-10-21,"elton john, dua lipa, pnau",Cold Heart - PNAU Remix,66,—,66,1
2021-10-21,maluma,Sobrio,67,—,67,1
2021-10-21,"becky g, el alfa",FULANITO,68,—,68,1
2021-10-21,camilo,Vida de Rico,69,—,69,1
2021-10-21,karol g,SEJODIOTO,70,—,70,1
2021-10-21,"lola indigo, rvfv",Romeo Y Julieta,71,—,71,1
2021-10-21,anuel aa,23 Preguntas,72,—,72,1
2021-10-21,måneskin,Beggin',73,—,73,1
2021-10-21,ed sheeran,Bad Habits,74,—,74,1
