fecha,artist_names,track_name,position,previous_rank,peak_rank,days_on_chart
2021-10-21,"C. Tangana, NATHY PELUSO",Ateo,1,—,1,1
2021-10-21,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,2,—,2,1
2021-10-21,"Jhayco, Anuel AA",Ley Seca,3,—,3,1
2021-10-21,Rauw Alejandro,Cúrame,4,—,4,1
2021-10-21,Jhayco,Dile (Homenaje),5,—,5,1
2021-10-21,"zzoilo, Aitana",Mon Amour - Remix,6,—,6,1
2021-10-21,Myke Towers,Experimento,7,—,7,1
2021-10-21,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),8,—,8,1
2021-10-21,Justin Quiles,Colorín Colorado,9,—,9,1
2021-10-21,Rauw Alejandro,Todo De Ti,10,—,10,1
2021-10-21,"Bizarrap, Ptazeta","Ptazeta: Bzrp Music Sessions, Vol. 45",11,—,11,1
2021-10-21,"Farruko, Victor Cardenas, Dj Adoni",El Incomprendido,12,—,12,1
2021-10-21,Farruko,Pepas,13,—,13,1
2021-10-21,"Aventura, Bad Bunny",Volví,14,—,14,1
2021-10-21,"Jc La Nevula, Atomic Otro Way",Búscate Otro,15,—,15,1
2021-10-21,"Mora, Bad Bunny, Sech",Volando - Remix,16,—,16,1
2021-10-21,"El Taiger, DJ Conds",La Historia,17,—,17,1
2021-10-21,Myke Towers,ALMAS GEMELAS,18,—,18,1
2021-10-21,Bad Bunny,Yonaguni,19,—,19,1
2021-10-21,"Camilo, Evaluna Montaner",Índigo,20,—,20,1
2021-10-21,"Justin Quiles, Chimbala, Zion & Lennox",Loco,21,—,21,1
2021-10-21,"Omar Montes, JC el Diamante",Beba Qué Quieres Que Haga,22,—,22,1
2021-10-21,Funzo & Baby Loud,INMORTALES,23,—,23,1
2021-10-21,Bad Bunny,120,24,—,24,1
2021-10-21,"Duki, Justin Quiles, Bizarrap",Unfollow,25,—,25,1
2021-10-21,"Justin Quiles, Maluma",La Botella,26,—,26,1
2021-10-21,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,27,—,27,1
2021-10-21,"J Balvin, Maria Becerra",Qué Más Pues?,28,—,28,1
2021-10-21,Rauw Alejandro,Sexo Virtual,29,—,29,1
2021-10-21,"Moncho Chavea, Yotuel, Original Elias, C de Cama, Omar Montes, Mala Rodríguez, Rvfv, Beatriz Luengo, Nyno Vargas",Rakata - Remix,30,—,30,1
2021-10-21,"Fabbio, Omar Montes, Lennis Rodriguez, Chus Santana",Diablita Remix,31,—,31,1
2021-10-21,"TINI, Maria Becerra",Miénteme,32,—,32,1
2021-10-21,Daviles de Novelda,Flamenco y Bachata,33,—,33,1
2021-10-21,"Sebastian Yatra, Myke Towers",Pareja Del Año,34,—,34,1
2021-10-21,"J Balvin, Sech",Una Nota,35,—,35,1
2021-10-21,"Delaossa, KIDDO, J.Moods",Veneno,36,—,36,1
2021-10-21,"Beny Jr, El Guincho",Combo la L,37,—,37,1
2021-10-21,"Bizarrap, Chucky73","Chucky73: Bzrp Music Sessions, Vol. 43",38,—,38,1
2021-10-21,Aitana,Berlín,39,—,39,1
2021-10-21,"El Bobe, alPeDue",Ella,40,—,40,1
2021-10-21,Rels B,SHORTY QUE TE VAYA BN <3,41,—,41,1
2021-10-21,Nil Moliner,Libertad,42,—,42,1
2021-10-21,Camila Cabello,Don't Go Yet,43,—,43,1
2021-10-21,Adele,Easy On Me,44,—,44,1
2021-10-21,"Tokischa, ROSALÍA",Linda,45,—,45,1
2021-10-21,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),46,—,46,1
2021-10-21,Trueno,FEEL ME??,47,—,47,1
2021-10-21,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,48,—,48,1
2021-10-21,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),49,—,49,1
2021-10-21,"Lola Indigo, Rvfv",Romeo Y Julieta,50,—,50,1
2021-10-21,Morad,Soñar,51,—,51,1
2021-10-21,CKay,love nwantiti (ah ah ah),52,—,52,1
2021-10-21,"Lola Indigo, TINI, Belinda",La Niña de la Escuela,53,—,53,1
2021-10-21,"Jhayco, Skrillex",En Mi Cuarto,54,—,54,1
2021-10-21,Anuel AA,23 Preguntas,55,—,55,1
2021-10-21,"C. Tangana, Niño de Elche, La Húngara",Tú Me Dejaste De Querer,56,—,56,1
2021-10-21,Ingratax,París,57,—,57,1
2021-10-21,KAROL G,SEJODIOTO,58,—,58,1
2021-10-21,"Sech, Jhayco",911 (Remix),59,—,59,1
2021-10-21,"Becky G, El Alfa",FULANITO,60,—,60,1
2021-10-21,"Duki, Bizarrap",Malbec,61,—,61,1
2021-10-21,"C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo",Ingobernable,62,—,62,1
2021-10-21,Maluma,Sobrio,63,—,63,1
2021-10-21,"Bad Bunny, Jhayco",DÁKITI,64,—,64,1
2021-10-21,"Morad, Trobi",Cómo Están?,65,—,65,1
2021-10-21,"J Balvin, Skrillex",In Da Getto,66,—,66,1
2021-10-21,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,67,—,67,1
2021-10-21,Bad Gyal,Flow 2000,68,—,68,1
2021-10-21,"Pablo Alborán, Aitana, Álvaro De Luna",Llueve sobre mojado,69,—,69,1
2021-10-21,Rauw Alejandro,La Old Skul,70,—,70,1
2021-10-21,Camilo,Vida de Rico,71,—,71,1
2021-10-21,Rauw Alejandro,Aquel Nap ZzZz,72,—,72,1
2021-10-21,"Rauw Alejandro, Mr. Naisgai",2/Catorce,73,—,73,1
2021-10-21,Måneskin,Beggin',74,—,74,1
2021-10-21,"Wisin, Jhayco, Ozuna, Los Legendarios",Emojis de Corazones (feat. Los Legendarios),75,—,75,1
2021-10-21,Ed Sheeran,Bad Habits,76,—,76,1
