fecha,temp_max,temp_min,temp_media,precipitacion
2017-01-01,"10,11","4,36","5,48","0,03"
2017-01-02,"11,05","4,36","6,81","0,19"
2017-01-03,"13,13","4,55","8,61","0,46"
2017-01-04,"13,68","5,14","9,3","0,06"
2017-01-05,"12,9","4,36","8,4","0,07"
2017-01-06,"12,38","4,4","7,0","0,03"
2017-01-07,"12,43","4,82","6,86","0,02"
2017-01-08,"12,93","4,21","7,01","0,04"
2017-01-09,"12,78","3,59","7,42","0,01"
2017-01-10,"11,62","3,79","7,82","4,02"
2017-01-11,"14,49","5,19","10,14","1,66"
2017-01-12,"15,0","4,58","10,05","0,63"
2017-01-13,"11,08","4,17","7,56","2,22"
2017-01-14,"9,25","3,7","5,57","2,29"
2017-01-17,"10,63","3,86","5,83","1,11"
2017-01-18,"6,2","5,23","1,99","0,51"
2017-01-19,"7,11","5,12","2,88","4,01"
2017-01-20,"8,51","3,75","5,06","4,12"
2017-01-21,"10,59","3,63","6,24","3,25"
2017-01-22,"10,48","4,1","6,44","1,85"
2017-01-23,"10,89","3,76","6,61","0,97"
2017-01-24,"12,07","3,78","6,74","0,15"
2017-01-25,"11,35","4,08","5,72","0,27"
2017-01-26,"10,31","4,03","5,64","3,14"
2017-01-27,"10,27","4,81","7,91","7,74"
2017-01-28,"11,56","3,86","7,87","1,22"
2017-01-29,"12,78","4,5","8,84","1,29"
2017-01-30,"14,68","6,27","10,86","0,46"
2017-01-31,"15,24","5,45","10,71","0,66"
2017-02-01,"14,5","5,94","10,6","1,1"
2017-02-02,"12,97","6,14","9,98","5,34"
2017-02-03,"13,72","6,32","10,42","5,53"
2017-02-04,"14,37","8,52","11,9","8,05"
2017-02-05,"12,9","5,76","9,69","4,8"
2017-02-06,"14,51","5,2","10,22","1,54"
2017-02-07,"14,61","5,89","10,63","2,62"
2017-02-08,"11,42","3,99","7,64","2,42"
2017-02-09,"12,79","3,27","7,52","0,17"
2017-02-10,"10,7","3,58","7,09","2,35"
2017-02-11,"10,78","4,47","7,81","2,8"
2017-02-12,"12,61","6,65","10,05","9,49"
2017-02-13,"13,22","6,52","10,32","9,31"
2017-02-14,"14,43","4,79","9,98","1,98"
2017-02-17,"16,18","4,7","10,49","0,0"
2017-02-18,"14,3","4,25","9,41","1,52"
2017-02-19,"13,97","5,3","9,93","1,13"
2017-02-20,"14,55","4,6","9,64","0,3"
2017-02-21,"16,26","4,79","10,58","0,37"
2017-02-22,"17,78","5,16","11,69","0,08"
2017-02-23,"15,86","6,85","11,75","0,87"
2017-02-24,"14,19","5,92","10,45","1,33"
2017-02-25,"16,38","4,65","10,35","0,04"
2017-02-26,"15,87","4,89","10,55","0,09"
2017-02-27,"15,25","5,96","10,98","0,23"
2017-02-28,"13,52","6,28","10,31","1,64"
2017-03-01,"16,06","5,09","10,82","0,15"
2017-03-02,"17,3","5,15","11,62","0,22"
2017-03-03,"13,74","4,64","9,53","6,43"
2017-03-04,"11,16","4,03","7,66","6,22"
2017-03-05,"14,29","5,28","10,13","1,38"
2017-03-06,"17,92","8,41","13,61","0,44"
2017-03-07,"18,5","7,58","13,49","0,5"
2017-03-08,"21,21","7,32","14,67","0,08"
2017-03-09,"24,19","7,42","16,22","0,0"
2017-03-10,"25,31","8,34","17,25","0,0"
2017-03-11,"22,63","8,13","15,82","0,04"
2017-03-12,"16,84","7,24","12,42","3,71"
2017-03-13,"12,91","5,86","9,71","6,9"
2017-03-14,"16,45","6,58","11,94","2,27"
2017-03-17,"18,5","5,42","12,26","0,45"
2017-03-18,"19,56","5,29","12,75","0,67"
2017-03-19,"20,33","5,33","13,17","0,46"
2017-03-20,"19,51","6,83","13,59","0,02"
2017-03-21,"15,04","6,31","11,1","1,18"
2017-03-22,"13,29","4,75","9,2","2,95"
2017-03-23,"11,03","3,79","7,16","1,63"
2017-03-24,"11,3","3,26","7,02","4,74"
2017-03-25,"11,27","3,68","7,54","7,45"
2017-03-26,"14,8","4,7","10,18","3,1"
2017-03-27,"14,95","6,74","11,3","2,59"
2017-03-28,"17,91","5,92","12,34","0,05"
2017-03-29,"20,7","5,87","13,66","0,0"
2017-03-30,"20,79","7,23","14,44","0,35"
2017-03-31,"19,11","8,37","14,21","1,45"
2017-04-01,"16,65","7,27","12,39","1,59"
2017-04-02,"17,6","6,05","12,09","1,14"
2017-04-03,"19,68","5,66","12,76","0,02"
2017-04-04,"19,77","6,23","13,36","0,07"
2017-04-05,"17,98","6,94","12,86","0,48"
2017-04-06,"19,37","6,51","13,31","0,03"
2017-04-07,"20,79","5,99","13,7","0,0"
2017-04-08,"22,04","6,61","14,74","0,0"
2017-04-09,"21,9","7,15","14,97","0,04"
2017-04-10,"22,47","7,48","15,42","0,06"
2017-04-11,"22,91","7,78","15,8","0,0"
2017-04-12,"23,64","7,8","16,14","0,0"
2017-04-13,"23,94","8,52","16,66","0,0"
2017-04-14,"22,58","9,46","16,48","0,03"
2017-04-17,"24,2","8,86","16,96","0,07"
2017-04-18,"23,27","9,64","16,91","0,06"
2017-04-19,"19,49","9,09","14,72","0,18"
2017-04-20,"18,6","7,86","13,54","0,13"
2017-04-21,"19,95","6,28","13,37","0,04"
2017-04-22,"21,26","6,74","14,32","0,05"
2017-04-23,"22,99","7,77","15,81","0,06"
2017-04-24,"23,17","8,46","16,26","0,23"
2017-04-25,"20,15","9,86","15,46","2,75"
2017-04-26,"16,08","7,93","12,37","2,6"
2017-04-27,"14,65","6,42","10,62","3,58"
2017-04-28,"15,15","6,08","10,29","6,04"
2017-04-29,"16,87","6,67","12,04","3,1"
2017-04-30,"15,95","7,5","12,14","3,93"
2017-05-01,"17,99","5,53","11,93","0,09"
2017-05-02,"20,55","7,54","14,49","0,26"
2017-05-03,"22,63","9,0","16,26","0,13"
2017-05-04,"23,38","10,14","17,21","0,1"
2017-05-05,"21,3","11,07","16,65","3,36"
2017-05-06,"20,68","8,93","15,24","0,55"
2017-05-07,"23,6","8,51","16,51","0,0"
2017-05-08,"23,6","8,51","16,51","0,0"
2017-05-09,"23,23","10,64","17,38","0,79"
2017-05-10,"23,6","8,51","16,51","0,0"
2017-05-11,"23,6","8,51","16,51","0,0"
2017-05-12,"23,6","8,51","16,51","0,0"
2017-05-13,"23,6","8,51","16,51","0,0"
2017-05-14,"23,14","10,31","17,18","0,17"
2017-05-17,"24,81","13,37","19,53","2,09"
2017-05-18,"20,18","10,46","15,79","5,51"
2017-05-19,"20,54","8,13","14,76","0,18"
2017-05-20,"23,76","8,69","16,67","0,04"
2017-05-21,"24,88","12,05","18,92","0,04"
2017-05-22,"25,94","12,87","19,85","0,3"
2017-05-23,"26,78","12,64","20,16","0,0"
2017-05-24,"28,43","13,48","21,4","0,06"
2017-05-25,"29,47","14,61","22,49","0,42"
2017-05-26,"27,16","14,63","21,35","2,06"
2017-05-27,"26,75","14,38","21,02","0,13"
2017-05-28,"25,27","15,09","20,63","0,74"
2017-05-29,"23,74","14,03","19,35","2,15"
2017-05-30,"23,97","13,32","19,1","0,96"
2017-05-31,"25,82","13,44","20,08","0,74"
2017-06-01,"27,34","14,04","21,14","0,31"
2017-06-02,"27,08","15,04","21,51","2,08"
2017-06-03,"24,26","14,33","19,76","3,14"
2017-06-04,"21,5","12,73","17,57","4,36"
